x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
0.00026,10440877642640.902,12437655989908.53,11538954329832.945,8337210135730.929
0.000261,10377901029250.104,12424603304977.928,11584623336344.44,8412163080547.924
0.00026199999999999997,10314272795287.766,12410323223797.668,11629310103017.756,8486941128607.098
0.000263,10250009621923.86,12394820011294.38,11673001886797.363,8561527703871.913
0.00026399999999999997,10185128277109.121,12378098293977.934,11715686195158.469,8635906141488.619
0.000265,10119645608348.588,12360163057640.414,11757350792054.275,8710059693700.436
0.000266,10053578535480.926,12341019644878.63,11797983703756.79,8783971535854.972
0.000267,9986944043467.727,12320673752441.816,11837573224587.32,8857624772502.209
0.000268,9919759175197.084,12299131428406.354,11876107922532.834,8931002443580.043
0.000269,9852041024305.66,12276399069179.545,11913576644744.352,9004087530684.436
0.00027,9783806728023.352,12252483416334.441,11949968522913.748,9076862963421.139
0.000271,9715073460044.783,12227391553277.969,11985272978525.29,9149311625835.785
0.000272,9645858423431.578,12201130901754.629,12019479727978.365,9221416362919.182
0.00027299999999999997,9576178843549.582,12173709218188.215,12052578787577.955,9293159987184.406
0.000274,9506051961044.871,12145134589864.035,12084560478389.412,9364525285312.408
0.00027499999999999996,9435495024862.594,12115415430954.3,12115415430954.299,9435495024862.59
0.000276,9364525285312.41,12084560478389.414,12145134589864.033,9506051961044.87
0.000277,9293159987184.408,12052578787577.957,12173709218188.215,9576178843549.58
0.000278,9221416362919.184,12019479727978.367,12201130901754.627,9645858423431.576
0.000279,9149311625835.787,11985272978525.29,12227391553277.967,9715073460044.781
0.00028,9076862963421.139,11949968522913.75,12252483416334.441,9783806728023.35
0.000281,9004087530684.436,11913576644744.354,12276399069179.545,9852041024305.658
0.00028199999999999997,8931002443580.047,11876107922532.838,12299131428406.354,9919759175197.082
0.000283,8857624772502.21,11837573224587.322,12320673752441.816,9986944043467.727
0.00028399999999999996,8783971535854.975,11797983703756.79,12341019644878.63,10053578535480.922
0.000285,8710059693700.437,11757350792054.275,12360163057640.412,10119645608348.586
0.000286,8635906141488.622,11715686195158.47,12378098293977.934,10185128277109.12
0.000287,8561527703871.916,11673001886797.367,12394820011294.38,10250009621923.857
0.000288,8486941128607.1,11629310103017.76,12410323223797.666,10314272795287.764
0.000289,8412163080547.927,11584623336344.441,12424603304977.928,10377901029250.104
0.00029,8337210135730.931,11538954329832.947,12437655989908.53,10440877642640.9
0.00029099999999999997,8262098775557.335,11492316071019.875,12449477377368.918,10503186048298.775
0.000292,8186845381073.542,11444721785774.719,12460063931787.91,10564809760295.893
0.00029299999999999997,8111466227352.875,11396184932057.383,12469412485005.996,10625732401155.588
0.000294,8035977477980.901,11346719193585.371,12477520237855.465,10685937709058.37
0.00029499999999999996,7960395179646.793,11296338473414.953,12484384761557.26,10745409545031.775
0.000296,7884735256842.8545,11245056887440.395,12490003998933.547,10804131900119.824
0.000297,7809013506674.526,11192888757815.588,12494376265435.178,10862088902527.45
0.000298,7733245593782.782,11139848606302.307,12497500249983.334,10919264824735.627
0.000299,7657447045380.964,11085951147549.422,12499375015624.738,10975644090582.703
0.0003,7581633246407.921,11031211282307.445,12500000000000.0,11031211282307.441
0.000301,7505819434799.154,10975644090582.703,12499375015624.738,11085951147549.422
0.00030199999999999997,7430020696877.735,10919264824735.629,12497500249983.334,11139848606302.303
0.000303,7354251962866.436,10862088902527.45,12494376265435.178,11192888757815.588
0.00030399999999999996,7278528002522.67,10804131900119.828,12490003998933.547,11245056887440.393
0.000305,7202863420897.501,10745409545031.777,12484384761557.262,11296338473414.951
0.000306,7127272654220.0625,10685937709058.37,12477520237855.467,11346719193585.371
0.000307,7051769965908.503,10625732401155.592,12469412485005.996,11396184932057.38
0.000308,6976369442708.532,10564809760295.893,12460063931787.912,11444721785774.719
0.000309,6901084990960.588,10503186048298.777,12449477377368.92,11492316071019.871
0.00031,6825930332996.369,10440877642640.9,12437655989908.53,11538954329832.947
0.00031099999999999997,6750919003665.663,10377901029250.105,12424603304977.93,11584623336344.44
0.000312,6676064346993.965,10314272795287.764,12410323223797.668,11629310103017.76
0.00031299999999999996,6601379512971.607,10250009621923.861,12394820011294.383,11673001886797.363
0.000314,6526877454474.75,10185128277109.12,12378098293977.934,11715686195158.47
0.00031499999999999996,6452570924318.708,10119645608348.59,12360163057640.414,11757350792054.275
0.000316,6378472472443.8,10053578535480.928,12341019644878.633,11797983703756.79
0.000317,6304594443233.985,9986944043467.727,12320673752441.816,11837573224587.322
0.000318,6230948972968.328,9919759175197.086,12299131428406.355,11876107922532.834
0.000319,6157547987405.26,9852041024305.658,12276399069179.545,11913576644744.354
0.00031999999999999997,6084403199499.648,9783806728023.355,12252483416334.441,11949968522913.748
0.000321,6011526107252.33,9715073460044.781,12227391553277.969,11985272978525.29
0.00032199999999999997,5938927991691.992,9645858423431.58,12201130901754.629,12019479727978.365
0.000323,5866619914988.871,9576178843549.58,12173709218188.215,12052578787577.957
0.00032399999999999996,5794612718699.985,9506051961044.873,12145134589864.035,12084560478389.412
0.000325,5722917022145.181,9435495024862.594,12115415430954.3,12115415430954.3
0.000326,5651543220913.536,9364525285312.408,12084560478389.414,12145134589864.035
0.000327,5580501485499.293,9293159987184.408,12052578787577.959,12173709218188.215
0.000328,5509801760066.558,9221416362919.182,12019479727978.367,12201130901754.629
0.000329,5439453761341.964,9149311625835.787,11985272978525.291,12227391553277.967
0.00033,5369466977634.241,9076862963421.139,11949968522913.75,12252483416334.441
0.00033099999999999997,5299850667979.7705,9004087530684.438,11913576644744.355,12276399069179.545
0.000332,5230613861412.943,8931002443580.043,11876107922532.838,12299131428406.354
0.00033299999999999996,5161765356360.224,8857624772502.213,11837573224587.324,12320673752441.816
0.000334,5093313720156.597,8783971535854.972,11797983703756.79,12341019644878.63
0.000335,5025267288683.186,8710059693700.436,11757350792054.275,12360163057640.414
0.000336,4957634166124.564,8635906141488.624,11715686195158.473,12378098293977.934
0.000337,4890422224844.37,8561527703871.913,11673001886797.367,12394820011294.38
0.000338,4823639105377.739,8486941128607.102,11629310103017.762,12410323223797.666
0.000339,4757292216538.915,8412163080547.924,11584623336344.441,12424603304977.928
0.00033999999999999997,4691388735642.496,8337210135730.933,11538954329832.95,12437655989908.53
0.000341,4625935608836.561,8262098775557.333,11492316071019.875,12449477377368.918
0.00034199999999999996,4560939551545.993,8186845381073.543,11444721785774.723,12460063931787.91
